2025-12-09T03:30:37;29;1;pytanie;0.00;0.00;0.00;0.00;N/A;neutralne pytanie
2025-12-09T03:30:37;41;1;pytanie;0.00;0.00;0.00;0.00;N/A;ironia
2025-12-09T03:30:37;23;1;insult;0.00;0.00;0.00;0.00;N/A;obelga
2025-12-09T03:30:37;41;1;project;0.00;0.00;0.00;0.00;N/A;projekt
2025-12-09T03:35:40;29;1;pytanie;0.00;0.00;0.00;0.00;N/A;neutralne pytanie
2025-12-09T03:35:40;41;1;pytanie;0.00;0.00;0.00;0.00;N/A;ironia
2025-12-09T03:35:40;23;1;insult;0.00;0.00;0.00;0.00;N/A;obelga
2025-12-09T03:35:40;41;1;project;0.00;0.00;0.00;0.00;N/A;projekt
2025-12-09T03:40:09;29;1;pytanie;0.00;0.00;0.00;0.00;N/A;neutralne pytanie
2025-12-09T03:40:09;41;1;irony;0.00;0.00;0.00;0.00;N/A;ironia
2025-12-09T03:40:09;23;1;insult;0.00;0.00;0.00;0.00;N/A;obelga
2025-12-09T03:40:09;41;1;project;0.00;0.00;0.00;0.00;N/A;projekt
